Variable,Category,N,Mean_Risk,Coefficient,Points
age,<25,46,0.13,0.036320919233936065,1
age,25-35,24,0.25,0.036320919233936065,1
age,35-45,16,0.312,0.036320919233936065,1
age,45-55,9,0.111,0.036320919233936065,1
age,55-65,8,0.125,0.036320919233936065,1
age,>65,9,0.222,0.036320919233936065,1
gcs,$\geq 14$,100,0.11,2.088469240182829,58
gcs,9-14,8,0.75,2.088469240182829,58
gcs,<6,4,1.0,2.088469240182829,58
hr,<75,28,0.25,-0.12159188775517382,-3
hr,75-85,9,0.333,-0.12159188775517382,-3
hr,85-95,16,0.125,-0.12159188775517382,-3
hr,95-105,20,0.05,-0.12159188775517382,-3
hr,<105,39,0.205,-0.12159188775517382,-3
sbp,<=140,21,0.238,0.19275666583332052,5
sbp,130-140,9,0.111,0.19275666583332052,5
sbp,120-130,17,0.118,0.19275666583332052,5
sbp,110-120,33,0.121,0.19275666583332052,5
sbp,100-110,14,0.214,0.19275666583332052,5
sbp,"<100""",16,0.375,0.19275666583332052,5
cirrhosis,Yes,2,0.0,-0.20458686618631022,-6
cirrhosis,No,110,0.191,-0.20458686618631022,-6
dysrhythmia,Yes,44,0.205,0.6282096248480549,17
dysrhythmia,No,67,0.164,0.6282096248480549,17
